,distance,k,db,ch,slt,time
128,hellinger,35,1.9667697816888843,573.4223518430074,0.29073879023256716,7.284571700000015
129,hellinger,35,1.956449800548638,563.8237552479895,0.2894720423827353,7.284571700000015
130,hellinger,35,1.932986207049024,586.6464235725848,0.29958652609701764,7.284571700000015
131,hellinger,35,2.0062944539856447,562.4322900387227,0.2889845738802128,7.284571700000015
132,hellinger,35,2.0067052685702285,575.2783881367784,0.29972733225422477,7.284571700000015
133,hellinger,40,1.8843546953695047,540.7354329938075,0.2916481275631107,7.279857899999996
134,hellinger,40,1.9532856251633326,538.4897822631426,0.29575906063908214,7.279857899999996
135,hellinger,40,1.9229396080163739,545.9099439129054,0.2976289424498217,7.279857899999996
136,hellinger,40,1.9335016345244695,540.0707325271154,0.2895403413794758,7.279857899999996
137,hellinger,40,1.9353689373699374,547.8853475622365,0.2923504208404866,7.279857899999996
138,hellinger,40,1.9033895768989246,550.6095162226937,0.29646158737393635,7.279857899999996
139,hellinger,40,1.9225771122788493,523.8595806198233,0.2844005033682556,7.279857899999996
140,hellinger,45,1.826122847054246,490.064509654013,0.28652631418225327,6.007824299999982
141,hellinger,45,1.824025079663714,503.823989801602,0.29258304564376586,6.007824299999982
142,hellinger,45,1.8536257219446959,492.07378997194166,0.2943055962239865,6.007824299999982
143,hellinger,45,1.848059365453279,495.55776613271416,0.29162795907055505,6.007824299999982
144,hellinger,45,1.7939684163819865,499.45091556050903,0.2901917893244233,6.007824299999982
145,hellinger,45,1.8001814122799542,500.2171546590567,0.29574290883223003,6.007824299999982
146,hellinger,45,1.8238739601715446,505.84004853465234,0.2941954237558543,6.007824299999982
147,hellinger,50,1.9172176474111624,470.7341228419001,0.29255410873999965,7.114977899999985
148,hellinger,50,1.9436543702645657,463.90791357082264,0.2873465889289484,7.114977899999985
149,hellinger,50,1.9220903018468707,471.48521626922303,0.2941530301301548,7.114977899999985
150,hellinger,50,1.9341862649652106,467.85742711365793,0.2931139522316612,7.114977899999985
151,hellinger,50,1.9369008760381525,474.31056712970394,0.29785249632253685,7.114977899999985
152,hellinger,50,1.917302166110819,467.36954186824886,0.2912213834810342,7.114977899999985
153,hellinger,50,1.91819084161706,476.14961411561706,0.29502106837980774,7.114977899999985
154,hellinger,55,1.760268159271527,443.47402380350053,0.2997192369033281,5.366044600000009
155,hellinger,55,1.7416170364571617,451.4165587344381,0.2976805983455275,5.366044600000009
156,hellinger,55,1.732942860481207,454.68324198428417,0.30612783375448893,5.366044600000009
157,hellinger,55,1.745171373023714,450.59640716280654,0.29817080876609425,5.366044600000009
158,hellinger,55,1.6947352366150186,452.36149117730787,0.2993448803614409,5.366044600000009
159,hellinger,55,1.755666578313763,451.49039872614657,0.30488753592751616,5.366044600000009
160,hellinger,55,1.741069197769004,442.2803369273755,0.2942694412584206,5.366044600000009
161,hellinger,60,1.588291123914893,439.48912013965935,0.2942599487982637,5.770633499999974
162,hellinger,60,1.6014555179608152,443.4625537809404,0.29059878110399595,5.770633499999974
163,hellinger,60,1.608616307861066,441.0231549206708,0.29459465660795786,5.770633499999974
164,hellinger,60,1.6086807136533041,435.7569338734998,0.28666151032711495,5.770633499999974
165,hellinger,60,1.589528387406838,432.28269895084185,0.2870554583896101,5.770633499999974
166,hellinger,60,1.5940575544867277,434.5749909107131,0.28589236760865216,5.770633499999974
167,hellinger,60,1.5952851264205314,444.3176308277652,0.2930807232093363,5.770633499999974
